F;ТАТЬЯНА;0.06359627664263375
F;ЕЛЕНА;0.061165407774615294
F;НАТАЛЬЯ;0.04936509562149766
F;ОЛЬГА;0.049017624869092245
F;ВАЛЕНТИНА;0.0408754551282033
F;АННА;0.04027066202877845
F;ИРИНА;0.039506112261581
F;МАРИЯ;0.03933950887947529
F;СВЕТЛАНА;0.036578856604411965
F;ГАЛИНА;0.035855387123213185
F;ЕКАТЕРИНА;0.03186061458960652
F;НАДЕЖДА;0.03017660814342497
F;ЛЮДМИЛА;0.030012572279194176
F;НИНА;0.02915701826731912
F;АНАСТАСИЯ;0.024143796976662118
F;ЮЛИЯ;0.024003724612597213
F;МАРИНА;0.021818481621279133
F;ЛЮБОВЬ;0.020899595501822795
F;АЛЕКСАНДРА;0.01878281965383583
F;ЛИДИЯ;0.018094724863358124
F;ВЕРА;0.016397595548038116
F;ТАМАРА;0.013608985856114586
F;ЗИНАИДА;0.010941334784076025
F;АНТОНИНА;0.010906530652882709
F;ОКСАНА;0.0107048378598198
F;ЕВГЕНИЯ;0.010376480851594328
F;ЛАРИСА;0.01028661772597224
F;ВИКТОРИЯ;0.010272068458014379
F;ДАРЬЯ;0.010044129926674542
F;РАИСА;0.00937144024344634
F;НАТАЛИЯ;0.007520259855631322
F;КЛАВДИЯ;0.00708863157288142
F;ЕЛИЗАВЕТА;0.006853561047444592
F;ЗОЯ;0.00642963531831944
F;МАРГАРИТА;0.005788611688881878
F;АЛЛА;0.005696751604912632
F;КСЕНИЯ;0.005508466960752066
F;КРИСТИНА;0.004979558278519204
F;ПОЛИНА;0.004711395300472337
F;ВАЛЕРИЯ;0.004494297400159928
F;АЛИНА;0.004393593643510413
F;ОЛЕСЯ;0.004163658153823419
F;АЛЕНА;0.004142832731060205
F;ИННА;0.003983646622815363
F;СОФЬЯ;0.003417366291514268
F;ЕВДОКИЯ;0.003372292088821284
F;ЯНА;0.002987449687347643
F;ЛИЛИЯ;0.0028870312104620076
F;ВЕРОНИКА;0.002532999023487368
F;ТАИСИЯ;0.0022114887295950083
M;АЛЕКСАНДР;0.0994445295135236
M;СЕРГЕЙ;0.07900665264679281
M;ВЛАДИМИР;0.06470660164206579
M;АЛЕКСЕЙ;0.05509501971338208
M;НИКОЛАЙ;0.04869097047417505
M;АНДРЕЙ;0.0410604576765419
M;ДМИТРИЙ;0.039962148543831566
M;ВИКТОР;0.036284593891844276
M;МИХАИЛ;0.03418198001892573
M;ЮРИЙ;0.030873833253099114
M;ЕВГЕНИЙ;0.029357278014685982
M;ИВАН;0.025607751249689253
M;АНАТОЛИЙ;0.024528903963864125
M;ИГОРЬ;0.022286017911508818
M;ПАВЕЛ;0.01730231629026353
M;МАКСИМ;0.017300480266972475
M;ВАЛЕРИЙ;0.017167184976041732
M;ОЛЕГ;0.016639879086850145
M;ВЯЧЕСЛАВ;0.015888578356149596
M;ВАСИЛИЙ;0.015714523348157386
M;РОМАН;0.013382773768514917
M;ДЕНИС;0.011825458813040318
M;ИЛЬЯ;0.011275386235039623
M;ВИТАЛИЙ;0.01058540868226038
M;ГЕННАДИЙ;0.010251252443287994
M;АРТЕМ;0.009808770830143244
M;НИКИТА;0.00977168315966389
M;КОНСТАНТИН;0.009633247003518189
M;БОРИС;0.009455519948943863
M;АНТОН;0.008576064792527533
M;КИРИЛЛ;0.008083276141207817
M;ВЛАДИСЛАВ;0.008015710484096918
M;ПЕТР;0.007625004727759974
M;ВАДИМ;0.006756198506431773
M;ВАЛЕНТИН;0.006037211785653828
M;ДАНИИЛ;0.0055903237166105395
M;ЕГОР;0.005266816412726285
M;ЛЕОНИД;0.0051515141500479015
M;СТАНИСЛАВ;0.005079909241696676
M;РУСЛАН;0.004206329359811727
M;ГРИГОРИЙ;0.003979764085695285
M;ГЕОРГИЙ;0.00393680114068455
M;ФЕДОР;0.0031318885298851347
M;ЭДУАРД;0.0028564850362265757
M;ДАНИЛА;0.002805076384076978
M;ЛЕВ;0.0019351685487741424
M;АРТУР;0.0019175427251799946
M;ЯРОСЛАВ;0.0017728640898446982
M;СТЕПАН;0.0016032155377510256
M;СЕМЕН;0.0015933010119793176